id,name,country,qs_global_rank,qs_europe_rank,founding_year,focus_areas,research_strengths,faculty_count,international_percent,language_of_teaching,website_url,university_type,gdpr_compliance_note,eu_ai_act_aligned
sorbonne-uni,"Sorbonne University",France,76,23,1257,"Humanities,Science,Medicine,Law,Engineering","Philosophy,Literature,Medicine,Physics,Law",2300,32,"English,French",https://www.sorbonne-universite.fr,Public,"GDPR compliant; French data governance standards.",true
zurich-uni,"University of Zurich",Switzerland,72,21,1833,"Science,Medicine,Humanities,Law,Social Sciences","Medicine,Physics,Chemistry,Mathematics,Law",2100,48,"English,German,French",https://www.uzh.ch,Public,"Swiss Data Protection Act compliance; EU research partnerships.",true
vienna-uni,"University of Vienna",Austria,79,25,1365,"Science,Medicine,Humanities,Law,Social Sciences","Philosophy,Physics,Medicine,Psychology,Theology",2100,25,"English,German",https://www.univie.ac.at,Public,"GDPR compliant; Austrian data protection leadership.",true
geneva-uni,"Université de Genève",Switzerland,115,47,1559,"Science,Medicine,Humanities,Law,Engineering","Physics,Medicine,Philosophy,Law,Astronomy",1800,48,"English,French",https://www.unige.ch,Public,"GDPR compliance; Swiss data protection standards.",true
paris-saclay,"University of Paris-Saclay",France,81,24,2020,"Science,Engineering,Medicine,Economics","Physics,Engineering,Mathematics,AI,Materials Science",1800,35,"English,French",https://www.universite-paris-saclay.fr,Public,"GDPR-certified; EU innovation research hub.",true
aalto-uni,"Aalto University",Finland,89,37,2010,"Engineering,Science,Design,Business,Arts","Artificial Intelligence,Materials Science,Renewable Energy,Design Thinking",1300,48,"English,Finnish",https://www.aalto.fi,Public,"GDPR-certified; Finnish innovation standards.",true
chalmers-tech,"Chalmers University of Technology",Sweden,88,38,1829,"Engineering,Science,Architecture","Nanotechnology,Sustainable Energy,Materials Science,AI",1100,50,"English,Swedish",https://www.chalmers.se,Public,"GDPR-certified; Swedish engineering research standards.",true
karolinska,"Karolinska Institute",Sweden,48,19,1810,"Medicine,Science,Health Sciences","Medicine,Immunology,Neuroscience,Pathology,Pharmacology",900,48,"English,Swedish",https://ki.se,Public,"GDPR-certified biomedical research; EU medical research alignment.",true
heidelberg-uni,"Heidelberg University",Germany,85,20,1386,"Science,Medicine,Humanities,Law","Physics,Medicine,Philosophy,Theology,Chemistry",1100,28,"English,German",https://www.uni-heidelberg.de,Public,"GDPR compliant; long-standing research ethics traditions.",true
bonn-uni,"University of Bonn",Germany,152,44,1818,"Science,Humanities,Medicine,Law","Mathematics,Physics,Medicine,Theology,Philosophy",1100,30,"English,German",https://www.uni-bonn.de,Public,"GDPR-compliant; German research traditions.",true
goettingen-uni,"University of Göttingen",Germany,98,22,1737,"Science,Humanities,Medicine,Law","Physics,Mathematics,Chemistry,Medicine,Philosophy",1200,28,"English,German",https://www.uni-goettingen.de,Public,"GDPR compliance; historical research ethics leadership.",true
frankfurt-uni,"University of Frankfurt",Germany,104,26,1914,"Medicine,Science,Law,Humanities,Social Sciences","Medicine,Chemistry,Philosophy,Law,Economics",550,30,"English,German",https://www.uni-frankfurt.de,Public,"GDPR compliant; historical research integrity standards.",true
freiburg-uni,"University of Freiburg",Germany,108,31,1457,"Science,Medicine,Humanities,Law,Engineering","Physics,Medicine,Philosophy,Law,Forest Science",1500,25,"English,German",https://www.uni-freiburg.de,Public,"GDPR-certified; German research ethics traditions.",true
hamburg-uni,"University of Hamburg",Germany,176,45,1919,"Science,Humanities,Medicine,Law,Engineering","Physics,Oceanography,Law,Philosophy,Chemistry",600,35,"English,German",https://www.uni-hamburg.de,Public,"GDPR-certified; German research standards.",true
humboldt-berlin,"Humboldt University of Berlin",Germany,112,29,1810,"Humanities,Science,Medicine,Law,Social Sciences","Philosophy,Physics,Medicine,Theology,Psychology",450,30,"English,German",https://www.hu-berlin.de,Public,"GDPR compliant; foundational research ethics traditions.",true
free-uni-berlin,"Freie Universität Berlin",Germany,105,30,1948,"Science,Humanities,Medicine,Law,Social Sciences","Physics,Philosophy,Medicine,Psychology,Law",220,35,"English,German",https://www.fu-berlin.de,Public,"GDPR compliance; democratic research governance.",true
tuebingen-uni,"University of Tübingen",Germany,151,46,1477,"Medicine,Science,Humanities,Law","Medicine,Physics,Theology,Philosophy,Chemistry",900,30,"English,German",https://www.uni-tuebingen.de,Public,"GDPR-compliant; historical research ethics.",true
cologne-uni,"University of Cologne",Germany,155,50,1388,"Humanities,Science,Medicine,Law,Social Sciences","Philosophy,Medicine,Law,Chemistry,Theology",700,28,"English,German",https://www.uni-koeln.de,Public,"GDPR-compliant; historical research traditions.",true
utrecht-uni,"University of Utrecht",Netherlands,85,18,1636,"Science,Medicine,Humanities,Law,Engineering","Medicine,Physics,Chemistry,Law,Biology",1800,45,"English,Dutch",https://www.uu.nl,Public,"Full GDPR compliance; EU research leadership.",true
groningen-uni,"University of Groningen",Netherlands,119,19,1614,"Science,Engineering,Medicine,Humanities,Law","Physics,Engineering,Medicine,Chemistry,Law",1600,40,"English,Dutch",https://www.rug.nl,Public,"GDPR-certified; Netherlands research standards.",true
erasmus-rotterdam,"Erasmus University Rotterdam",Netherlands,102,20,1913,"Science,Medicine,Law,Social Sciences,Business","Medicine,Law,Economics,Management,Psychology",1500,45,"English,Dutch",https://www.eur.nl,Public,"GDPR-compliant; EU research governance.",true
helsinki-uni,"University of Helsinki",Finland,121,36,1640,"Medicine,Science,Humanities,Law,Social Sciences","Medicine,Physics,Language Studies,Law,Theology",2100,25,"English,Finnish,Swedish",https://www.helsinki.fi,Public,"GDPR full compliance; Nordic research ethics.",true
bern-uni,"University of Bern",Switzerland,131,48,1834,"Science,Medicine,Humanities,Law,Theology","Medicine,Physics,Philosophy,Law,Theology",1200,25,"English,German,French",https://www.unibe.ch,Public,"GDPR-certified; Swiss research governance.",true
lausanne-uni,"University of Lausanne",Switzerland,207,49,1537,"Science,Medicine,Humanities,Law,Engineering","Medicine,Law,Philosophy,Microeconomics,Criminology",1500,48,"English,French",https://www.unil.ch,Public,"GDPR compliant; Swiss data protection standards.",true
uppsala-uni,"Uppsala University",Sweden,103,18,1477,"Science,Medicine,Humanities,Law,Social Sciences","Medicine,Physics,Pharmacy,Evolutionary Biology,Theology",2200,30,"English,Swedish",https://www.uu.se,Public,"GDPR full compliance; Nordic research standards.",true
stockholm-uni,"Stockholm University",Sweden,180,40,1878,"Science,Humanities,Law,Social Sciences","Physics,Philosophy,Law,Gender Studies,Environmental Science",1700,32,"English,Swedish",https://www.su.se,Public,"GDPR-certified; Swedish research standards.",true
trinity-dublin,"Trinity College Dublin",Ireland,82,42,1592,"Humanities,Science,Engineering,Medicine,Law","Philosophy,Physics,Medicine,Law,Computer Science",1100,65,"English",https://www.tcd.ie,Public,"GDPR-certified; Irish research standards.",true
ucd,"University College Dublin",Ireland,174,43,1854,"Science,Engineering,Humanities,Law,Medicine","Medicine,Law,Engineering,Philosophy,Economics",1500,65,"English",https://www.ucd.ie,Public,"GDPR-certified; Irish research governance.",true
cork-uni,"University of Cork",Ireland,267,44,1845,"Science,Engineering,Humanities,Medicine,Law","Medicine,Engineering,Chemistry,Law,Physics",800,45,"English",https://www.ucc.ie,Public,"GDPR-certified; Irish research standards.",true
oslo-uni,"University of Oslo",Norway,107,28,1811,"Medicine,Science,Humanities,Law,Social Sciences","Medicine,Physics,Philosophy,Law,Theology",2200,25,"English,Norwegian",https://www.uio.no,Public,"GDPR full compliance; Norwegian data governance.",true
ntnu,"Norwegian University of Science and Technology (NTNU)",Norway,98,41,1910,"Engineering,Science,Medicine,Architecture","Robotics,Materials Science,Energy Systems,Computer Science,Medicine",1400,32,"English,Norwegian",https://www.ntnu.no,Public,"GDPR-certified; Norwegian research standards.",true
bergen-uni,"University of Bergen",Norway,201,42,1946,"Science,Humanities,Medicine,Law","Medicine,Physics,Philosophy,Law,Biology",1200,28,"English,Norwegian",https://www.uib.no,Public,"GDPR compliance; Norwegian research governance.",true
warsaw-uni,"University of Warsaw",Poland,278,39,1816,"Science,Medicine,Humanities,Law,Social Sciences","Physics,Medicine,Philosophy,Law,Mathematics",1200,25,"English,Polish",https://www.uw.edu.pl,Public,"GDPR compliance; Polish data governance.",true
warsaw-tech,"Warsaw University of Technology",Poland,291,46,1915,"Engineering,Science,Architecture,Computer Science","Mechanical Engineering,Computer Science,Electrical Engineering,Civil Engineering",500,20,"English,Polish",https://www.pw.edu.pl,Public,"GDPR-compliant; Polish research standards.",true
krakow-uni,"Jagiellonian University Kraków",Poland,301,47,1364,"Humanities,Science,Medicine,Law,Social Sciences","Philosophy,Medicine,Law,History,Theology",1100,22,"English,Polish",https://www.uj.edu.pl,Public,"GDPR compliance; Polish research governance.",true
wroclaw-uni,"University of Wrocław",Poland,367,51,1702,"Science,Humanities,Engineering,Medicine,Law","Mathematics,Physics,Chemistry,Medicine,Law",800,18,"English,Polish",https://www.uni.wroc.pl,Public,"GDPR-compliant; Polish research standards.",true
charles-prague,"Charles University Prague",Czech Republic,301,48,1348,"Humanities,Science,Medicine,Law,Social Sciences","Medicine,Philosophy,Law,Theology,History",1300,20,"English,Czech",https://www.cuni.cz,Public,"GDPR compliance; Czech research governance.",true
ctu-prague,"Czech Technical University in Prague",Czech Republic,373,52,1707,"Engineering,Science,Architecture,Computer Science","Computer Science,Civil Engineering,Mechanical Engineering,Electrical Engineering",800,18,"English,Czech",https://www.cvut.cz,Public,"GDPR-compliant; Czech research standards.",true
budapest-uni,"Eötvös Loránd University Budapest",Hungary,297,49,1635,"Science,Humanities,Medicine,Law,Social Sciences","Physics,Philosophy,History,Medicine,Theology",1200,22,"English,Hungarian",https://www.elte.hu,Public,"GDPR compliance; Hungarian data governance.",true
bucharest-uni,"University of Bucharest",Romania,423,53,1864,"Science,Humanities,Medicine,Law,Social Sciences","Medicine,Physics,Philosophy,History,Law",1100,18,"English,Romanian",https://www.unibuc.ro,Public,"GDPR-compliant; Romanian research standards.",true
politecnico-milano,"Politecnico di Milano",Italy,156,33,1863,"Engineering,Architecture,Design","Aerospace,Civil Engineering,Architecture,Computing",1100,45,"English,Italian",https://www.polimi.it,Public,"GDPR compliant; Italian research standards.",true
bologna-uni,"Università di Bologna",Italy,154,34,1088,"Medicine,Science,Humanities,Law,Engineering","Medicine,Physics,Law,Medieval Studies,Engineering",2300,38,"English,Italian",https://www.unibo.it,Public,"GDPR-certified; oldest European university research traditions.",true
barcelona-uni,"Universitat de Barcelona",Spain,168,35,1450,"Science,Engineering,Humanities,Law,Medicine","Medicine,Physics,Chemistry,Law,Neuroscience",1500,40,"English,Catalan,Spanish",https://www.ub.edu,Public,"GDPR compliant; Spanish research governance.",true
uta-barcelona,"Universitat Autònoma de Barcelona",Spain,194,32,1968,"Science,Engineering,Humanities,Law,Social Sciences","Physics,Engineering,Languages,Law,Psychology",2100,32,"English,Catalan,Spanish",https://www.uab.cat,Public,"GDPR compliant; Spanish data governance.",true
madrid-uni,"Complutense University of Madrid",Spain,206,36,1822,"Medicine,Science,Humanities,Law,Social Sciences","Medicine,Philosophy,Law,Chemistry,Linguistics",1800,32,"English,Spanish",https://www.ucm.es,Public,"GDPR compliant; Spanish research standards.",true
uam-madrid,"Universidad Autónoma de Madrid",Spain,227,37,1968,"Science,Engineering,Humanities,Law,Medicine","Chemistry,Physics,Psychology,Biology,Mathematics",1200,28,"English,Spanish",https://www.uam.es,Public,"GDPR-compliant; Spanish research governance.",true
upc-barcelona,"Universitat Politècnica de Catalunya",Spain,240,38,1971,"Engineering,Science,Architecture,Industrial Design","Robotics,Civil Engineering,Telecommunications,Computer Science",900,35,"English,Catalan,Spanish",https://www.upc.edu,Public,"GDPR-compliant; Spanish engineering standards.",true
granada-uni,"University of Granada",Spain,252,39,1531,"Science,Engineering,Humanities,Law,Medicine","Medicine,Physics,Chemistry,Law,Engineering",1600,30,"English,Spanish",https://www.ugr.es,Public,"GDPR-compliant; Spanish research standards.",true
valencia-uni,"University of Valencia",Spain,276,40,1499,"Science,Engineering,Humanities,Law,Medicine","Chemistry,Physics,Medicine,Law,Engineering",1400,28,"English,Spanish",https://www.uv.es,Public,"GDPR-compliant; Spanish research governance.",true
lisbon-uni,"University of Lisbon",Portugal,286,41,1288,"Science,Engineering,Humanities,Law,Medicine","Physics,Engineering,Philosophy,Law,Medicine",1900,22,"English,Portuguese",https://www.ulisboa.pt,Public,"GDPR compliant; Portuguese research governance.",true
coimbra-uni,"University of Coimbra",Portugal,331,43,1290,"Science,Engineering,Humanities,Law,Medicine","Medicine,Law,Physics,Philosophy,Engineering",1600,20,"English,Portuguese",https://www.uc.pt,Public,"GDPR-compliant; Portuguese research standards.",true
porto-uni,"University of Porto",Portugal,341,44,1761,"Science,Engineering,Medicine,Humanities,Law","Engineering,Medicine,Chemistry,Physics,Law",1700,22,"English,Portuguese",https://www.up.pt,Public,"GDPR-compliant; Portuguese research governance.",true
athens-uni,"National and Kapodistrian University of Athens",Greece,390,45,1837,"Science,Medicine,Humanities,Law,Social Sciences","Philosophy,Medicine,Physics,Law,Classics",1100,20,"English,Greek",https://www.uoa.gr,Public,"GDPR-compliant; Greek research standards.",true
aristotle-uni,"Aristotle University of Thessaloniki",Greece,401,46,1926,"Science,Engineering,Humanities,Medicine,Law","Medicine,Physics,Engineering,Law,Philosophy",1200,18,"English,Greek",https://www.auth.gr,Public,"GDPR-compliant; Greek research governance.",true
lund-uni,"Lund University",Sweden,99,17,1666,"Science,Medicine,Humanities,Law,Engineering","Medicine,Physics,Astronomy,Law,Medieval Studies",2300,40,"English,Swedish",https://www.lu.se,Public,"GDPR-certified; Swedish research standards.",true
gothenburg-uni,"University of Gothenburg",Sweden,128,35,1891,"Science,Engineering,Medicine,Humanities,Law","Medicine,Physics,Engineering,Law,Chemistry",1500,32,"English,Swedish",https://www.gu.se,Public,"GDPR-certified; Swedish research governance.",true
psl-uni,"Université PSL (Paris Sciences & Lettres)",France,24,7,2010,"AI,Cognitive Science,Physics,Humanities,Social Sciences","Computational Neuroscience,Machine Learning,Theoretical Physics,Life Sciences",4500,20,"English,French",https://www.psl.eu,Public,"Aligned with French CNIL regulations and GDPR; strict research data governance.",true
polytechnique-uni,"École Polytechnique",France,46,11,1794,"Mathematics,Physics,AI,Engineering","Data Science for Economics,Plasmas,Astrophysics",670,40,"English,French",https://www.polytechnique.edu,Public,"Aligned with IP Paris data governance and GDPR.",true
vub-brussel,"Vrije Universiteit Brussel (VUB)",Belgium,259,147,1834,"Computer Science,Engineering,Medicine,Law,Social Sciences","AI,Robotics,Biotechnology,European Studies",2000,25,"English,Dutch",https://www.vub.be,Public,"GDPR compliant; Belgium data protection standards.",true
